800
1.854 -3.114 1 0 0 
0.045 -0.418 0 0 1 
-2.808 -1.031 0 1 0 
0.425 0.685 0 0 1 
1.715 1.166 0 1 0 
-0.538 0.221 0 0 1 
0.290 -0.966 0 0 1 
-0.271 -0.670 0 0 1 
0.795 2.876 0 1 0 
0.098 0.128 0 0 1 
0.821 -0.063 0 0 1 
0.505 0.101 0 0 1 
1.081 2.690 0 1 0 
0.446 1.420 0 1 0 
-2.837 1.454 1 0 0 
3.156 2.616 1 0 0 
-0.062 -0.232 0 0 1 
3.828 1.089 1 0 0 
2.310 3.489 1 0 0 
1.949 -1.892 0 1 0 
-1.230 0.751 0 1 0 
1.738 0.087 0 1 0 
2.415 -2.177 1 0 0 
2.496 -0.179 0 1 0 
1.770 -2.317 0 1 0 
1.562 -0.643 0 1 0 
-0.666 0.841 0 0 1 
1.125 0.590 0 1 0 
3.416 -4.365 1 0 0 
1.084 -2.752 0 1 0 
-1.371 0.872 0 1 0 
2.469 0.574 0 1 0 
-2.635 0.146 0 1 0 
2.209 1.944 0 1 0 
0.806 -0.758 0 0 1 
-0.771 0.860 0 0 1 
-3.390 3.870 1 0 0 
3.398 -4.163 1 0 0 
-1.915 -1.633 0 1 0 
1.731 -3.982 1 0 0 
2.641 0.036 0 1 0 
-1.643 0.128 0 1 0 
0.663 -0.437 0 0 1 
4.116 2.303 1 0 0 
-3.866 -1.114 1 0 0 
4.903 -1.525 1 0 0 
0.835 0.194 0 0 1 
-0.073 -0.329 0 0 1 
0.214 0.587 0 0 1 
-4.428 3.640 1 0 0 
-2.252 1.524 0 1 0 
1.628 -2.190 0 1 0 
-4.817 -2.687 1 0 0 
-0.695 -0.262 0 0 1 
1.002 3.402 1 0 0 
-2.891 -3.736 1 0 0 
2.035 -0.055 0 1 0 
0.761 -1.192 0 1 0 
0.933 0.638 0 0 1 
-0.945 -0.302 0 0 1 
-1.165 -4.249 1 0 0 
1.159 -0.524 0 1 0 
-0.881 -0.565 0 0 1 
0.003 -3.959 1 0 0 
-0.433 0.268 0 0 1 
0.164 -0.256 0 0 1 
-3.777 -3.965 1 0 0 
1.586 -2.090 0 1 0 
-3.415 3.651 1 0 0 
-0.476 -0.719 0 0 1 
-3.981 -4.164 1 0 0 
0.298 -0.355 0 0 1 
1.395 -2.332 0 1 0 
-4.113 -4.644 1 0 0 
-1.942 4.196 1 0 0 
-0.635 -0.670 0 0 1 
-1.354 -1.297 0 1 0 
0.799 -0.716 0 0 1 
-2.513 -0.952 0 1 0 
-1.718 -0.132 0 1 0 
2.207 0.322 0 1 0 
0.437 -0.211 0 0 1 
-0.298 2.079 0 1 0 
0.776 -0.775 0 0 1 
0.838 4.393 1 0 0 
-0.575 0.665 0 0 1 
0.969 0.123 0 0 1 
3.588 -0.290 1 0 0 
0.389 -2.699 0 1 0 
-0.118 0.402 0 0 1 
-1.906 -0.324 0 1 0 
-0.739 -0.360 0 0 1 
-0.642 1.235 0 1 0 
-0.201 -0.957 0 0 1 
-0.960 -0.383 0 0 1 
-2.888 -1.937 1 0 0 
-0.038 -2.346 0 1 0 
4.229 2.349 1 0 0 
-4.411 -4.951 1 0 0 
1.397 -1.094 0 1 0 
-2.645 1.022 0 1 0 
-0.940 -0.673 0 0 1 
-3.019 1.529 1 0 0 
-1.702 4.502 1 0 0 
