800
1.854 -3.114 0 0 
0.045 -0.418 1 1 
-2.808 -1.031 1 0 
0.425 0.685 1 1 
1.715 1.166 1 0 
-0.538 0.221 1 1 
0.290 -0.966 1 1 
-0.271 -0.670 1 1 
0.795 2.876 1 0 
0.098 0.128 1 1 
0.821 -0.063 1 1 
0.505 0.101 1 1 
1.081 2.690 1 0 
0.446 1.420 1 0 
-2.837 1.454 0 0 
3.156 2.616 0 0 
-0.062 -0.232 1 1 
3.828 1.089 0 0 
2.310 3.489 0 0 
1.949 -1.892 1 0 
-1.230 0.751 1 0 
1.738 0.087 1 0 
2.415 -2.177 0 0 
2.496 -0.179 1 0 
1.770 -2.317 1 0 
1.562 -0.643 1 0 
-0.666 0.841 1 1 
1.125 0.590 1 0 
-2.238 -3.713 0 0 
3.416 -4.365 0 0 
1.084 -2.752 1 0 
-1.371 0.872 1 0 
2.469 0.574 1 0 
-2.635 0.146 1 0 
2.209 1.944 1 0 
0.806 -0.758 1 1 
-0.771 0.860 1 1 
-3.390 3.870 0 0 
3.398 -4.163 0 0 
-1.915 -1.633 1 0 
1.731 -3.982 0 0 
2.641 0.036 1 0 
-1.643 0.128 1 0 
0.663 -0.437 1 1 
4.116 2.303 0 0 
-3.866 -1.114 0 0 
4.903 -1.525 0 0 
0.835 0.194 1 1 
-0.073 -0.329 1 1 
0.214 0.587 1 1 
-4.428 3.640 0 0 
-2.252 1.524 1 0 
1.628 -2.190 1 0 
-4.817 -2.687 0 0 
-0.695 -0.262 1 1 
1.002 3.402 0 0 
-2.891 -3.736 0 0 
2.035 -0.055 1 0 
0.761 -1.192 1 0 
0.933 0.638 1 1 
-0.945 -0.302 1 1 
-1.165 -4.249 0 0 
1.159 -0.524 1 0 
-0.881 -0.565 1 1 
0.003 -3.959 0 0 
-0.433 0.268 1 1 
0.164 -0.256 1 1 
-3.777 -3.965 0 0 
1.586 -2.090 1 0 
-3.415 3.651 0 0 
-0.476 -0.719 1 1 
-3.981 -4.164 0 0 
0.298 -0.355 1 1 
1.395 -2.332 1 0 
-4.113 -4.644 0 0 
-1.942 4.196 0 0 
-0.635 -0.670 1 1 
-1.354 -1.297 1 0 
0.799 -0.716 1 1 
-2.513 -0.952 1 0 
-1.718 -0.132 1 0 
2.207 0.322 1 0 
0.437 -0.211 1 1 
-0.298 2.079 1 0 
0.776 -0.775 1 1 
0.838 4.393 0 0 
-0.575 0.665 1 1 
0.969 0.123 1 1 
3.588 -0.290 0 0 
0.389 -2.699 1 0 
-0.118 0.402 1 1 
-1.906 -0.324 1 0 
-0.739 -0.360 1 1 
-0.642 1.235 1 0 
-0.201 -0.957 1 1 
-0.960 -0.383 1 1 
-2.888 -1.937 0 0 
-0.038 -2.346 1 0 
4.229 2.349 0 0 
-4.411 -4.951 0 0 
1.397 -1.094 1 0 
-2.645 1.022 1 0 
-0.940 -0.673 1 1 
-3.019 1.529 0 0 
-1.702 4.502 0 0 
-0.762 -0.699 1 1 
-1.190 3.189 0 0 
-0.211 -1.398 1 0 
0.132 0.654 1 1 
-1.879 -1.205 1 0 
-0.579 -4.691 0 0 
-1.565 -4.881 0 0 
0.419 2.362 1 0 
-2.020 -0.355 1 0 
-0.111 -3.481 0 0 
0.532 -0.318 1 1 
2.958 3.992 0 0 
-0.491 0.886 1 1 
-0.034 0.041 1 1 
-0.471 -0.250 1 1 
-0.229 0.343 1 1 
-4.531 -3.289 0 0 
-0.012 0.571 1 1 
-0.445 -0.443 1 1 
1.396 3.826 0 0 
2.741 -4.687 0 0 
1.985 -3.112 0 0 
0.883 -2.458 1 0 
0.672 -0.047 1 1 
3.531 3.313 0 0 
-2.758 -1.814 0 0 
-1.594 -2.661 0 0 
-3.009 -3.413 0 0 
-2.757 0.348 1 0 
1.553 0.203 1 0 
3.936 3.232 0 0 
-0.238 -1.242 1 0 
-0.745 -2.890 1 0 
2.279 -4.984 0 0 
0.259 -2.436 1 0 
1.322 -0.880 1 0 
-2.582 1.336 1 0 
0.730 2.391 1 0 
-0.902 -0.552 1 1 
-0.402 -0.852 1 1 
0.512 0.968 1 1 
0.297 0.382 1 1 
0.856 -4.714 0 0 
0.953 0.220 1 1 
-0.574 -4.870 0 0 
0.765 0.004 1 1 
1.513 1.727 1 0 
-4.470 2.786 0 0 
-2.441 -2.637 0 0 
3.976 -2.886 0 0 
-0.671 -1.351 1 0 
1.431 4.951 0 0 
-2.030 2.577 0 0 
0.657 -0.043 1 1 
0.187 -2.954 1 0 
-1.127 3.547 0 0 
-0.471 0.924 1 1 
3.581 -4.852 0 0 
-2.177 3.239 0 0 
-0.718 0.540 1 1 
-1.100 -2.024 1 0 
-3.125 -3.697 0 0 
-1.509 -2.238 1 0 
1.207 -1.462 1 0 
-2.742 -1.780 0 0 
1.086 2.025 1 0 
0.565 -0.238 1 1 
0.319 -0.075 1 1 
3.524 4.486 0 0 
1.113 -0.799 1 0 
-2.148 0.927 1 0 
-0.369 -0.939 1 1 
-2.213 4.547 0 0 
-1.986 -0.124 1 0 
-0.903 -1.998 1 0 
0.824 -0.542 1 1 
-2.013 0.950 1 0 
4.094 0.458 0 0 
-0.430 -4.645 0 0 
0.051 -0.503 1 1 
-4.387 -1.395 0 0 
-3.003 1.385 0 0 
-1.292 -1.420 1 0 
0.403 3.387 0 0 
-1.942 -0.528 1 0 
-0.799 -0.535 1 1 
2.033 3.865 0 0 
-1.894 1.925 1 0 
